team,matches,wins,win_rate,avg_goals,avg_conceded
Guam,123,25,0.2032520325203252,1.1382113821138211,4.902439024390244
Angola,415,141,0.3397590361445783,1.1325301204819278,1.0313253012048194
Dominican Republic,159,62,0.389937106918239,1.6729559748427674,1.5974842767295598
Seychelles,176,26,0.14772727272727273,0.7670454545454546,2.2613636363636362
Rwanda,280,88,0.3142857142857143,1.0321428571428573,1.2
São Tomé and Príncipe,71,9,0.1267605633802817,0.7464788732394366,2.563380281690141
Botswana,332,90,0.2710843373493976,0.8072289156626506,1.283132530120482
Northern Cyprus,34,20,0.5882352941176471,2.8823529411764706,0.9117647058823529
Cape Verde,238,89,0.3739495798319328,1.084033613445378,1.1134453781512605
Kyrgyzstan,191,57,0.29842931937172773,1.1518324607329844,1.6806282722513088
Georgia,307,100,0.3257328990228013,1.247557003257329,1.4039087947882736
Azerbaijan,310,61,0.1967741935483871,0.7677419354838709,1.6774193548387097
Comoros,151,36,0.23841059602649006,0.8874172185430463,1.6158940397350994
Kiribati,11,0,0.0,0.6363636363636364,11.454545454545455
Tonga,68,16,0.23529411764705882,1.1911764705882353,3.7205882352941178
Wallis Islands and Futuna,24,5,0.20833333333333334,0.9583333333333334,4.541666666666667
United Arab Emirates,612,246,0.4019607843137255,1.4166666666666667,1.2418300653594772
Brunei,137,22,0.16058394160583941,0.781021897810219,3.2773722627737225
Equatorial Guinea,179,49,0.2737430167597765,0.8715083798882681,1.4636871508379887
Liechtenstein,259,19,0.07335907335907337,0.40540540540540543,2.8030888030888033
Nepal,268,63,0.23507462686567165,0.8544776119402985,2.246268656716418
Greenland,77,25,0.3246753246753247,1.8831168831168832,2.064935064935065
Niue,2,0,0.0,0.0,16.5
Samoa,71,22,0.30985915492957744,1.3943661971830985,3.507042253521127
American Samoa,55,4,0.07272727272727272,0.6,6.490909090909091
Belize,121,31,0.256198347107438,1.0991735537190082,1.9256198347107438
Maldives,233,63,0.2703862660944206,1.1888412017167382,2.257510729613734
Anguilla,91,7,0.07692307692307693,0.5714285714285714,3.8351648351648353
Cayman Islands,120,25,0.20833333333333334,0.9833333333333333,2.45
Palau,2,0,0.0,2.0,10.5
Sint Maarten,60,20,0.3333333333333333,1.4666666666666666,2.55
Namibia,279,70,0.25089605734767023,0.978494623655914,1.4229390681003584
Åland Islands,51,21,0.4117647058823529,1.5098039215686274,1.6862745098039216
Ynys Môn,67,37,0.5522388059701493,1.8656716417910448,1.4328358208955223
Saint Martin,68,25,0.36764705882352944,1.4852941176470589,2.4558823529411766
San Marino,225,3,0.013333333333333334,0.19555555555555557,3.9555555555555557
Slovenia,317,114,0.35962145110410093,1.2365930599369086,1.1735015772870663
Shetland,58,21,0.3620689655172414,1.7413793103448276,1.9482758620689655
Isle of Wight,48,26,0.5416666666666666,2.3541666666666665,1.25
Moldova,299,58,0.1939799331103679,0.8127090301003345,1.745819397993311
Ukraine,338,152,0.44970414201183434,1.4053254437869822,1.0591715976331362
Kazakhstan,269,71,0.26394052044609667,1.1486988847583643,1.6505576208178439
Tajikistan,201,78,0.3880597014925373,1.4875621890547264,1.3830845771144278
Uzbekistan,357,169,0.4733893557422969,1.719887955182073,1.112044817927171
Turkmenistan,175,64,0.3657142857142857,1.5142857142857142,1.52
Armenia,272,65,0.23897058823529413,1.0073529411764706,1.8345588235294117
Gibraltar,160,40,0.25,1.13125,2.475
Isle of Man,58,35,0.603448275862069,3.206896551724138,1.5
North Macedonia,306,95,0.3104575163398693,1.1928104575163399,1.34640522875817
Czech Republic,363,191,0.5261707988980716,1.7768595041322315,1.022038567493113
Montserrat,66,17,0.25757575757575757,1.0909090909090908,2.9545454545454546
Serbia,348,155,0.4454022988505747,1.5258620689655173,1.0977011494252873
Canary Islands,4,3,0.75,2.75,0.75
